"","mu","sigma","prejudice","own","out","step"
"223",0.7,0.4,0.1,0.967705809662224,0.822539570152522,10000
"224",0.7,0.4,0.2,0.98404274808118,0.491885136305418,10000
"225",0.7,0.4,0.4,0.996111872134267,0.0688404657182053,10000
"226",0.9,0.01,0,0.999647705541852,0.999647575911691,10000
"227",0.9,0.01,0.05,0.999852677217655,0.999349074577785,10000
"228",0.9,0.01,0.1,0.999989065692017,0.998888644124634,10000
"229",0.9,0.01,0.2,0.999998598264704,0.996738992713141,10000
"230",0.9,0.01,0.4,0.999998598493879,0.500418357581693,10000
"231",0.9,0.05,0,0.999634529185438,0.999635738186389,10000
"232",0.9,0.05,0.05,0.999831305974972,0.999331490193689,10000
"233",0.9,0.05,0.1,0.999943706265653,0.998860959362082,10000
"234",0.9,0.05,0.2,0.999997558841951,0.996657927119151,10000
"235",0.9,0.05,0.4,0.999998598427702,0.498105809810912,10000
"236",0.9,0.1,0,0.999564174063692,0.999562331029535,10000
"237",0.9,0.1,0.05,0.999755914186663,0.999256248180043,10000
"238",0.9,0.1,0.1,0.999872867775521,0.998765844195734,10000
"239",0.9,0.1,0.2,0.999975319729797,0.996366521706135,10000
"240",0.9,0.1,0.4,0.999998495051528,0.498312521452027,10000
"241",0.9,0.2,0,0.999220001273865,0.999218610996332,10000
"242",0.9,0.2,0.05,0.999481874821384,0.998766430438188,10000
"243",0.9,0.2,0.1,0.999664775383345,0.998057043926837,10000
"244",0.9,0.2,0.2,0.999856882150503,0.994173871921802,10000
"245",0.9,0.2,0.4,0.999981028547574,0.485114453960871,10000
"246",0.9,0.4,0,0.984341194439243,0.982975233726806,10000
"247",0.9,0.4,0.05,0.98825781410438,0.977014913098305,10000
"248",0.9,0.4,0.1,0.992032895431998,0.96799806169325,10000
"249",0.9,0.4,0.2,0.99625021287531,0.931918329147511,10000
"250",0.9,0.4,0.4,0.999054952770941,0.501133740938149,10000
